id,theoric angle,computed angle,computed qr's center x(px),computed qr's center y(px),real qr's center x (cm),real qr's center y (cm),computed qr's center x(cm),computed qr's center y(cm),distance from center (px),data,detected
1,315,310.817,157,105,18.5,22,8.86794,17.547,211.646,HTTP://CLIKBRIX.CO/T/2153,1
8,180,-1,-1,-1,91,0,-1,-1,401.4,,0
2,180,175.843,160,265,19,0,9.24307,-3.20235,161.941,HTTP://CLIKBRIX.CO/T/2153,1
3,45,43.6846,166,403,20,-18,9.99883,-21.2362,224.243,HTTP://CLIKBRIX.CO/T/2153,1
3,225,224.388,174,400,20,-18,11.0163,-20.9745,216.601,HTTP://CLIKBRIX.CO/T/2153,1
4,270,267.861,385,83,54,28,43.3582,24.7423,169.924,HTTP://CLIKBRIX.CO/T/2153,1
1,90,87.8085,138,94,18.5,22,6.5348,18.6999,233.324,HTTP://CLIKBRIX.CO/T/2153,1
4,225,223.289,384,80,54,28,43.1752,25.1906,172.325,HTTP://CLIKBRIX.CO/T/2153,1
4,315,314.995,384,87,54,28,43.1752,24.0908,165.846,HTTP://CLIKBRIX.CO/T/2153,1
6,225,222.174,405,414,54,-28,47.1003,-27.8476,193.652,HTTP://CLIKBRIX.CO/T/2153,1
3,270,270,176,400,20,-18,11.2724,-21.0074,215.258,HTTP://CLIKBRIX.CO/T/2153,1
9,90,86.7611,551,440,91,-37,79.4276,-37.2003,305.55,HTTP://CLIKBRIX.CO/T/2153,1
8,135,-1,-1,-1,91,0,-1,-1,401.4,,0
6,135,130.367,400,415,54,-28,46.1506,-27.8751,192.419,HTTP://CLIKBRIX.CO/T/2153,1
6,315,314.023,411,408,54,-28,48.2495,-27.0425,191.063,HTTP://CLIKBRIX.CO/T/2153,1
1,0,357.555,149,99,18.5,22,7.87796,18.2131,221.635,HTTP://CLIKBRIX.CO/T/2153,1
4,90,85.8587,381,80,54,28,42.628,25.1211,171.234,HTTP://CLIKBRIX.CO/T/2153,1
7,90,88.8818,538,79,91,31,76.1301,29.6025,271.007,HTTP://CLIKBRIX.CO/T/2153,1
6,45,40.5176,399,404,54,-28,45.9621,-26.0964,182.036,HTTP://CLIKBRIX.CO/T/2153,1
1,225,221.192,158,89,18.5,22,8.9942,19.6368,221.461,HTTP://CLIKBRIX.CO/T/2153,1
9,225,-1,-1,-1,91,-37,-1,-1,401.4,,0
2,315,312.773,163,275,19,0,9.62003,-4.51257,160.854,HTTP://CLIKBRIX.CO/T/2153,1
5,225,225.672,390,254,54,0,44.2804,-2.16662,71.3863,HTTP://CLIKBRIX.CO/T/2153,1
5,90,85.9744,385,254,54,0,43.3582,-2.15564,66.4906,HTTP://CLIKBRIX.CO/T/2153,1
1,180,177.654,155,87,18.5,22,8.61907,19.8509,225.02,HTTP://CLIKBRIX.CO/T/2153,1
6,90,87.5359,398,419,54,-28,45.7736,-28.4607,195.256,HTTP://CLIKBRIX.CO/T/2153,1
3,225,224.388,174,400,20,-18,11.0163,-20.9745,216.601,HTTP://CLIKBRIX.CO/T/2153,1
7,225,-1,-1,-1,91,31,-1,-1,401.4,,0
2,90,87.7659,155,267,19,0,8.61907,-3.44939,167.194,HTTP://CLIKBRIX.CO/T/2153,1
3,180,179.785,176,402,20,-18,11.2724,-21.2709,216.749,HTTP://CLIKBRIX.CO/T/2153,1
8,0,358.574,547,247,91,0,78.4028,-1.25166,227.108,HTTP://CLIKBRIX.CO/T/2153,1
8,270,-1,-1,-1,91,0,-1,-1,401.4,,0
4,135,134.296,382,80,54,28,42.8092,25.143,171.593,HTTP://CLIKBRIX.CO/T/2153,1
2,0,358.897,160,270,19,0,9.24307,-3.85197,162.788,HTTP://CLIKBRIX.CO/T/2153,1
1,180,178.182,156,87,18.5,22,8.74351,19.8655,224.288,HTTP://CLIKBRIX.CO/T/2153,1
4,0,357.889,380,85,54,28,42.445,24.3141,166.208,HTTP://CLIKBRIX.CO/T/2153,1
6,225,222.174,405,414,54,-28,47.1003,-27.8476,193.652,HTTP://CLIKBRIX.CO/T/2153,1
9,315,-1,-1,-1,91,-37,-1,-1,401.4,,0
8,45,-1,-1,-1,91,0,-1,-1,401.4,,0
3,225,224.388,174,400,20,-18,11.0163,-20.9745,216.601,HTTP://CLIKBRIX.CO/T/2153,1
8,45,-1,-1,-1,91,0,-1,-1,401.4,,0
7,45,-1,-1,-1,91,31,-1,-1,401.4,,0
1,315,311.5,157,105,18.5,22,8.86794,17.547,211.646,HTTP://CLIKBRIX.CO/T/2153,1
8,315,-1,-1,-1,91,0,-1,-1,401.4,,0
7,90,90,537,79,91,31,75.8812,29.5696,270.204,HTTP://CLIKBRIX.CO/T/2153,1
9,0,-1,-1,-1,91,-37,-1,-1,401.4,,0
4,45,38.9608,380,85,54,28,42.445,24.3141,166.208,HTTP://CLIKBRIX.CO/T/2153,1
4,315,314.989,384,87,54,28,43.1752,24.0908,165.846,HTTP://CLIKBRIX.CO/T/2153,1
5,0,358.11,387,258,54,0,43.726,-2.79062,69.3758,HTTP://CLIKBRIX.CO/T/2153,1
4,90,85.8587,381,80,54,28,42.628,25.1211,171.234,HTTP://CLIKBRIX.CO/T/2153,1
4,45,38.9608,380,85,54,28,42.445,24.3141,166.208,HTTP://CLIKBRIX.CO/T/2153,1
7,315,-1,-1,-1,91,31,-1,-1,401.4,,0
5,225,225.224,390,255,54,0,44.2804,-2.32399,71.5891,HTTP://CLIKBRIX.CO/T/2153,1
7,135,-1,-1,-1,91,31,-1,-1,401.4,,0
3,45,43.6846,166,403,20,-18,9.99883,-21.2362,224.243,HTTP://CLIKBRIX.CO/T/2153,1
5,225,225.672,390,254,54,0,44.2804,-2.16662,71.3863,HTTP://CLIKBRIX.CO/T/2153,1
8,90,85.5355,551,243,91,0,79.4276,-0.512376,231.019,HTTP://CLIKBRIX.CO/T/2153,1
6,45,-1,-1,-1,54,-28,-1,-1,401.4,,0
4,0,357.233,381,85,54,28,42.628,24.336,166.571,HTTP://CLIKBRIX.CO/T/2153,1
2,135,130.519,157,262,19,0,8.86794,-2.80709,164.478,HTTP://CLIKBRIX.CO/T/2153,1
7,0,-1,-1,-1,91,31,-1,-1,401.4,,0
2,270,269.034,166,270,19,0,9.99883,-3.87027,156.895,HTTP://CLIKBRIX.CO/T/2153,1
1,270,267.117,161,90,18.5,22,9.36934,19.5526,218.589,HTTP://CLIKBRIX.CO/T/2153,1
5,135,131.161,388,252,54,0,43.9108,-1.84638,69.0507,HTTP://CLIKBRIX.CO/T/2153,1
8,45,-1,-1,-1,91,0,-1,-1,401.4,,0
5,315,314.286,391,258,54,0,44.4653,-2.8016,73.2462,HTTP://CLIKBRIX.CO/T/2153,1
7,0,-1,-1,-1,91,31,-1,-1,401.4,,0
4,225,223.742,385,81,54,28,43.3582,25.057,171.773,HTTP://CLIKBRIX.CO/T/2153,1
9,315,-1,-1,-1,91,-37,-1,-1,401.4,,0
2,225,224.929,165,268,19,0,9.87256,-3.60676,157.509,HTTP://CLIKBRIX.CO/T/2153,1
5,270,267.184,390,256,54,0,44.2804,-2.48319,71.8053,HTTP://CLIKBRIX.CO/T/2153,1
3,90,85.551,167,398,20,-18,10.1251,-20.5993,219.939,HTTP://CLIKBRIX.CO/T/2153,1
8,0,358.574,547,247,91,0,78.4028,-1.25166,227.108,HTTP://CLIKBRIX.CO/T/2153,1
8,90,-1,-1,-1,91,0,-1,-1,401.4,,0
5,90,85.1783,385,254,54,0,43.3582,-2.15564,66.4906,HTTP://CLIKBRIX.CO/T/2153,1
1,135,125.777,139,93,18.5,22,6.65557,18.8426,233.174,HTTP://CLIKBRIX.CO/T/2153,1
1,225,220.8,158,90,18.5,22,8.9942,19.5069,220.78,HTTP://CLIKBRIX.CO/T/2153,1
6,315,314.632,412,408,54,-28,48.4435,-27.0681,191.541,HTTP://CLIKBRIX.CO/T/2153,1
7,270,-1,-1,-1,91,31,-1,-1,401.4,,0
7,135,-1,-1,-1,91,31,-1,-1,401.4,,0
1,45,44.7532,142,100,18.5,22,7.01973,17.9881,226.46,HTTP://CLIKBRIX.CO/T/2153,1
6,90,87.5359,398,418,54,-28,45.7736,-28.3015,194.34,HTTP://CLIKBRIX.CO/T/2153,1
3,0,359.781,172,408,20,-18,10.7601,-21.9919,223.893,HTTP://CLIKBRIX.CO/T/2153,1
3,0,359.781,172,408,20,-18,10.7601,-21.9919,223.893,HTTP://CLIKBRIX.CO/T/2153,1
6,45,40.5176,398,404,54,-28,45.7736,-26.0708,181.604,HTTP://CLIKBRIX.CO/T/2153,1
5,135,131.161,388,251,54,0,43.9108,-1.68901,68.884,HTTP://CLIKBRIX.CO/T/2153,1
9,315,-1,-1,-1,91,-37,-1,-1,401.4,,0
